iter	Accuracy	MultiClass
472	0.9919047619	0.05397626604
473	0.9919940476	0.05389980498
474	0.9920535714	0.05371827625
475	0.9920238095	0.05370689755
476	0.9920238095	0.05364060538
477	0.9920535714	0.05343803406
478	0.9920535714	0.05343322027
479	0.9921130952	0.05332583473
480	0.9921428571	0.05328905015
481	0.9921428571	0.05324042547
482	0.992172619	0.05315963745
483	0.992202381	0.05304623195
484	0.9922619048	0.05290890285
485	0.9922916667	0.05281804766
486	0.9923214286	0.05274138314
487	0.9923214286	0.05269473848
488	0.9922916667	0.05268343244
489	0.9922619048	0.05261835371
490	0.9922619048	0.05256842477
491	0.992202381	0.05250168573
492	0.992202381	0.05247338431
493	0.9922321429	0.05243028187
494	0.9922321429	0.05230374291
495	0.9922916667	0.05222966512
496	0.9922916667	0.05216750372
497	0.9923809524	0.05203652881
498	0.9923809524	0.05198030018
499	0.9924107143	0.05195631481
